Logger, work_in_polland:         	Automatically truncated logfile to 1048576, MadelineProto 8.3.2
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001168345721
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001168345721
Session, work_in_polland:        	Garbage collected 48 incoming messages in DC 2, 0 left
Session, work_in_polland:        	Garbage collected 53 outgoing messages in DC 2, 0 left
MsgIdHandler, work_in_polland:   	Zend hashmap reallocation done. Cleaned memory: 0.1 Mb
PingLoop, work_in_polland:       	Ping DC 2.0
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1002053365321
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
FeedLoop, work_in_polland:       	Getdiff fed me message of type message in update feed loop channel -1001877596031...
FeedLoop, work_in_polland:       	Getdiff fed me message of type message in update feed loop channel -1001877596031...
FeedLoop, work_in_polland:       	Getdiff fed me message of type message in update feed loop channel -1001877596031...
FeedLoop, work_in_polland:       	Getdiff fed me message of type message in update feed loop channel -1001877596031...
FeedLoop, work_in_polland:       	Getdiff fed me message of type message in update feed loop channel -1001877596031...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
AbstractServer, work_in_polland: 	Accepted IPC client connection!
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001877596031
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1002053365321
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
PingLoop, work_in_polland:       	Ping DC 2.0
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001671832082
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001671832082
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001671832082
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001817046690
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
FeedLoop, work_in_polland:       	MSGID duplicate (231408) in update feed loop channel -1001817046690
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001817046690
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001788045085
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
Session, work_in_polland:        	Garbage collected 74 incoming messages in DC 2, 0 left
Session, work_in_polland:        	Garbage collected 54 outgoing messages in DC 2, 0 left
MsgIdHandler, work_in_polland:   	Zend hashmap reallocation done. Cleaned memory: 0.1 Mb
PingLoop, work_in_polland:       	Ping DC 2.0
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001449523365
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001121665186
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
PingLoop, work_in_polland:       	Ping DC 2.0
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001302384372
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1002053365321
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
AbstractServer, work_in_polland: 	Accepted IPC client connection!
SessionPaths, work_in_polland:   	Waiting for exclusive lock of /var/www/vr_kr.session/safe.php.lock...
SessionPaths, work_in_polland:   	Got exclusive lock of /var/www/vr_kr.session/safe.php.lock...
SessionPaths, work_in_polland:   	Waiting for exclusive lock of /var/www/vr_kr.session/lightState.php.lock...
SessionPaths, work_in_polland:   	Got exclusive lock of /var/www/vr_kr.session/lightState.php.lock...
APIWrapper, work_in_polland:     	Saved session!
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001449523365
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001671832082
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
Session, work_in_polland:        	Garbage collected 60 incoming messages in DC 2, 0 left
Session, work_in_polland:        	Garbage collected 58 outgoing messages in DC 2, 0 left
MsgIdHandler, work_in_polland:   	Zend hashmap reallocation done. Cleaned memory: 0.1 Mb
PingLoop, work_in_polland:       	Ping DC 2.0
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1002084239445
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001196743842
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001720658854
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
MinDatabase, work_in_polland:    	Found 1 pending contexts
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop generic
UpdateHandler, work_in_polland:  	Saving update of type updateChannelUserTyping
MinDatabase, work_in_polland:    	Found 1 pending contexts
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop generic
UpdateHandler, work_in_polland:  	Saving update of type updateChannelUserTyping
PingLoop, work_in_polland:       	Ping DC 2.0
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001389650012
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001750862124
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001976384669
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updateShort) received via the socket...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001389650012
UpdateHandler, work_in_polland:  	Saving update of type updateDeleteChannelMessages
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001389650012
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
UpdateHandler, work_in_polland:  	Parsing updates (updates) received via the socket...
SeqLoop, work_in_polland:        	Was fed updates of type updates...
FeedLoop, work_in_polland:       	Resumed update feed loop channel -1001449523365
UpdateHandler, work_in_polland:  	Saving update of type updateNewChannelMessage
Session, work_in_polland:        	Garbage collected 60 incoming messages in DC 2, 0 left
